シーズン,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
2016,Ｊ１ ２ｎｄ,第１５節第１日,16/10/22(土),14:04,FC東京,2-1,鹿島,味スタ,37317,スカパー！／スカパー！プレミアムサービス／ＴＯＫＹＯ　ＭＸ（録）
2016,Ｊ１ ２ｎｄ,第１６節第１日,16/10/29(土),14:04,FC東京,1-0,仙台,味スタ,21198,スカパー！／スカパー！プレミアムサービス／ＴＯＫＹＯ　ＭＸ（録）
2017,Ｊ１,第２節第１日,17/03/04(土),15:04,FC東京,2-0,大宮,味スタ,27259,ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ２
2017,Ｊ１,第４節第１日,17/03/18(土),19:04,FC東京,3-0,川崎Ｆ,味スタ,36311,ＤＡＺＮ／ＮＨＫ　ＢＳ１
2017,Ｊ１,第５節第１日,17/04/01(土),16:04,FC東京,3-3,鳥栖,味スタ,19669,ＤＡＺＮ
2017,Ｊ１,第７節第１日,17/04/16(日),14:04,FC東京,0-1,浦和,味スタ,38248,ＤＡＺＮ／ＮＨＫ　ＢＳ１／ＴＯＫＹＯ　ＭＸ（録）
2017,Ｊ１,第９節第１日,17/04/30(日),15:04,FC東京,1-0,広島,味スタ,25037,ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ（録）
2017,Ｊ１,第１１節第１日,17/05/14(日),15:04,FC東京,1-2,柏,味スタ,23950,ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ（録）
2017,Ｊ１,第１３節第２日,17/05/28(日),16:04,FC東京,1-1,甲府,味スタ,18953,ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ（録）
2017,Ｊ１,第１５節第２日,17/06/18(日),18:04,FC東京,0-1,横浜FM,味スタ,23282,ＤＡＺＮ
2017,Ｊ１,第１８節第１日,17/07/08(土),19:03,FC東京,2-2,鹿島,味スタ,42979,ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ
2017,Ｊ１,第１９節第２日,17/07/30(日),19:04,FC東京,1-1,新潟,味スタ,21908,ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ
2017,Ｊ１,第２２節第２日,17/08/13(日),19:03,FC東京,1-0,神戸,味スタ,30642,ＤＡＺＮ
2017,Ｊ１,第２５節第１日,17/09/09(土),19:03,FC東京,1-4,Ｃ大阪,味スタ,36635,ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ
2017,Ｊ１,第２６節第１日,17/09/16(土),19:03,FC東京,1-0,仙台,味スタ,17940,ＤＡＺＮ
2017,Ｊ１,第２８節第１日,17/09/30(土),16:03,FC東京,0-0,磐田,味スタ,26736,ＤＡＺＮ
2017,Ｊ１,第３０節第１日,17/10/21(土),16:03,FC東京,1-2,札幌,味スタ,16817,ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ（録）
2017,Ｊ１,第３１節第１日,17/10/29(日),17:03,FC東京,0-0,清水,味スタ,13417,ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ（録）
2017,Ｊ１,第３４節第１日,17/12/02(土),14:05,FC東京,0-0,Ｇ大阪,味スタ,30548,ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ（録）
2018,Ｊ１,第１節第２日,18/02/24(土),14:03,FC東京,1-1,浦和,味スタ,35951,ＤＡＺＮ／ＮＨＫ　ＢＳ１／ＴＯＫＹＯ　ＭＸ（録）
2018,Ｊ１,第２節第２日,18/03/03(土),15:03,FC東京,0-1,仙台,味スタ,16990,ＤＡＺＮ
2018,Ｊ１,第４節第１日,18/03/18(日),15:03,FC東京,1-0,湘南,味スタ,16568,ＤＡＺＮ
2018,Ｊ１,第５節第２日,18/03/31(土),15:03,FC東京,3-2,Ｇ大阪,味スタ,21940,ＤＡＺＮ
2018,Ｊ１,第７節第１日,18/04/11(水),19:03,FC東京,2-1,鹿島,味スタ,17260,ＤＡＺＮ
2018,Ｊ１,第１０節第１日,18/04/25(水),19:03,FC東京,3-1,広島,味スタ,13425,ＤＡＺＮ
2018,Ｊ１,第１１節第１日,18/04/28(土),15:03,FC東京,3-2,名古屋,味スタ,25185,ＤＡＺＮ
2018,Ｊ１,第１４節第２日,18/05/13(日),16:04,FC東京,0-0,札幌,味スタ,24589,ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ
2018,Ｊ１,第１７節第１日,18/07/22(日),19:04,FC東京,5-2,横浜FM,味スタ,34126,ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ
2018,Ｊ１,第１８節第１日,18/07/27(金),19:03,FC東京,0-1,長崎,味スタ,23063,ＤＡＺＮ
2018,Ｊ１,第２０節第１日,18/08/05(日),19:03,FC東京,1-0,神戸,味スタ,44801,ＤＡＺＮ／ＮＨＫ　ＢＳ１
2018,Ｊ１,第２２節第１日,18/08/15(水),19:03,FC東京,0-1,柏,味スタ,20986,ＤＡＺＮ
2018,Ｊ１,第２５節第３日,18/09/02(日),19:03,FC東京,0-0,鳥栖,味スタ,30867,ＤＡＺＮ
2018,Ｊ１,第２８節第１日,18/09/29(土),17:05,FC東京,0-2,清水,味スタ,33789,ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ（録）
2018,Ｊ１,第３０節第２日,18/10/20(土),19:03,FC東京,0-1,Ｃ大阪,味スタ,28053,ＤＡＺＮ
2018,Ｊ１,第３２節第２日,18/11/10(土),14:03,FC東京,0-0,磐田,味スタ,24323,ＤＡＺＮ
2018,Ｊ１,第３３節第１日,18/11/24(土),14:03,FC東京,0-2,川崎Ｆ,味スタ,37422,ＤＡＺＮ／ＮＨＫ総合／ＴＯＫＹＯ　ＭＸ
2019,Ｊ１,第３節第２日,19/03/10(日),14:03,FC東京,2-0,鳥栖,味スタ,27937,ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ
2019,Ｊ１,第４節第１日,19/03/17(日),13:33,FC東京,1-0,名古屋,味スタ,25656,ＤＡＺＮ
2019,Ｊ１,第６節第２日,19/04/06(土),14:03,FC東京,2-1,清水,味スタ,22302,ＤＡＺＮ
2019,Ｊ１,第７節第２日,19/04/14(日),14:03,FC東京,3-1,鹿島,味スタ,38414,ＤＡＺＮ
2019,Ｊ１,第９節第２日,19/04/28(日),14:03,FC東京,2-0,松本,味スタ,36412,ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ
2019,Ｊ１,第１１節第２日,19/05/12(日),14:03,FC東京,1-0,磐田,味スタ,31075,ＤＡＺＮ
2019,Ｊ１,第１２節第２日,19/05/18(土),14:03,FC東京,2-0,札幌,味スタ,24772,ＤＡＺＮ
2019,Ｊ１,第１４節第２日,19/06/01(土),14:03,FC東京,3-1,大分,味スタ,25175,ＤＡＺＮ
2019,Ｊ１,第１５節第２日,19/06/15(土),19:03,FC東京,0-1,神戸,味スタ,38506,ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ
2019,Ｊ１,第１７節第１日,19/06/29(土),19:03,FC東京,4-2,横浜FM,味スタ,33705,ＤＡＺＮ／ＮＨＫ　ＢＳ１
2019,Ｊ１,第１８節第２日,19/07/07(日),19:03,FC東京,3-1,Ｇ大阪,味スタ,28209,ＤＡＺＮ
2019,Ｊ１,第１９節第２日,19/07/14(日),19:03,FC東京,0-3,川崎Ｆ,味スタ,42401,ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ
2019,Ｊ１,第２１節第２日,19/08/03(土),19:03,FC東京,3-0,Ｃ大阪,味スタ,28721,ＤＡＺＮ
2019,Ｊ１,第２２節第１日,19/08/10(土),19:03,FC東京,1-0,仙台,味スタ,28435,ＤＡＺＮ
